model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Random Forest,False,True,0.6464395558337296,0.7763600623582501,0.6464395558337296,0.5976994591717316,"[1, 2, 3, 8, 19, 20, 21, 22, 24, 25, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,23
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 10, 18, 20, 22, 23, 25, 32, 40, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,23
GaussianNB,True,True,0.5108701087010871,0.4084546530363878,0.5108701087010871,0.35738576027410557,"[1, 2, 3, 18, 19, 20, 22, 25, 27, 45, 46, 47, 53, 54, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
GaussianNB,True,False,0.898009565383948,0.9215866391346923,0.898009565383948,0.894627365114217,"[1, 2, 3, 19, 20, 22, 24, 27, 32, 41, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
GaussianNB,False,True,0.49796153088428347,0.5092439036696952,0.49796153088428347,0.49515651090307716,"[1, 2, 3, 12, 18, 20, 22, 23, 25, 27, 41, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,23
GaussianNB,False,False,0.99779998099975,0.9978097760578328,0.99779998099975,0.9977999654538269,"[1, 2, 3, 18, 20, 22, 24, 25, 27, 41, 42, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
Mutilayer Perceptron,True,True,0.6199782658413372,0.6187819704409939,0.6199782658413372,0.5442963163189326,"[1, 2, 3, 10, 19, 20, 22, 25, 41, 42, 45, 46, 47, 53, 63, 68, 70, 75, 76, 77, 78]",extra_trees,23
Mutilayer Perceptron,True,False,0.7224692949515443,0.7508021477262111,0.7224692949515443,0.7176059261864339,"[1, 2, 3, 8, 10, 20, 22, 23, 24, 25, 41, 42, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
Mutilayer Perceptron,False,True,0.540097033537684,0.5529877634515583,0.540097033537684,0.5217150010368692,"[1, 2, 3, 9, 10, 19, 20, 22, 25, 27, 41, 43, 45, 46, 47, 53, 55, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
Mutilayer Perceptron,False,False,0.999969999999994,0.9999700029996221,0.999969999999994,0.9999699999998769,"[1, 2, 3, 19, 20, 22, 23, 24, 25, 45, 46, 47, 54, 55, 68, 70, 75, 76, 77, 78]",extra_trees,23
KNN,True,True,0.5763807689075872,0.5031211710707437,0.5763807689075872,0.5199363213262702,"[1, 2, 3, 8, 10, 20, 22, 25, 41, 43, 45, 46, 47, 54, 64, 67, 68, 70, 75, 76, 77]",extra_trees,28
KNN,True,False,0.7935102228564735,0.8408885818718389,0.7935102228564735,0.7862139743432476,"[1, 2, 3, 10, 19, 20, 22, 23, 24, 25, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,28
KNN,False,True,0.6529398266323216,0.7662850418531341,0.6529398266323216,0.6094856604996175,"[1, 2, 3, 18, 19, 20, 22, 23, 24, 25, 27, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28
KNN,False,False,0.999980000099995,0.9999800012998931,0.999980000099995,0.9999800000999679,"[1, 2, 3, 8, 10, 20, 22, 23, 25, 41, 45, 46, 47, 53, 55, 64, 67, 68, 70, 75, 76, 77]",extra_trees,28
Decision Tree,True,True,0.7679984281693181,0.7807347775581454,0.7679984281693181,0.7663977924265262,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 27, 42, 45, 46, 47, 53, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28
Decision Tree,True,False,0.7805093878622232,0.7025003020603036,0.7805093878622232,0.7243576482567886,"[1, 2, 3, 10, 19, 20, 22, 23, 24, 41, 42, 45, 46, 47, 53, 55, 68, 70, 75, 76, 77, 78]",extra_trees,28
Decision Tree,False,True,0.6232278372462732,0.627732199258283,0.6232278372462732,0.6197159626283475,"[1, 2, 3, 10, 20, 22, 24, 25, 41, 42, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 2, 3, 10, 19, 20, 22, 24, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,28
Random Forest,True,True,0.8094412857490307,0.8514880639455189,0.8094412857490307,0.7978357753726367,"[1, 2, 3, 12, 19, 20, 22, 23, 24, 32, 41, 45, 46, 47, 53, 56, 68, 70, 75, 76, 77, 78]",extra_trees,28
Random Forest,True,False,0.5829808298082981,0.43353289549378166,0.5829808298082981,0.46811396217967327,"[1, 2, 3, 19, 20, 22, 25, 42, 45, 46, 47, 53, 55, 56, 64, 68, 70, 75, 76, 77]",extra_trees,28
Random Forest,False,True,0.7216492027523023,0.808562097100303,0.7216492027523023,0.698075309910075,"[1, 2, 3, 8, 14, 19, 20, 22, 23, 25, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 10, 19, 20, 22, 24, 41, 45, 46, 47, 54, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,28
GaussianNB,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[1, 2, 3, 10, 20, 22, 25, 41, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,28
